method,roc_auc,avg_precision,precision@10,precision@20
common_neighbours,0.9238470962479698,0.9202843577578892,1.0,1.0
jaccard,0.9132215896953219,0.8967549748757881,0.3,0.45
adamic_adar,0.9247524579309354,0.9245499129481383,1.0,1.0
katz,0.9480375916675317,0.9519298203002705,1.0,1.0
pagerank,0.8801347992019473,0.8397324805652576,1.0,0.95
personalized_pagerank,0.5031696141004904,0.5190129027826119,1.0,1.0
